SKU,Stock
135957,20
135958,50
135959,34
135960,109
135961,160
135966,180
135967,191
135968,145
135969,95
135970,200
135971,200
135972,85
135973,198
135974,141
135975,136
135976,200
135977,200
135982,7
135983,4
135984,10
135985,2
135986,34
135987,28
135988,0
135989,13
135990,17
135991,3
135992,41
135993,62
135998,136
135999,80
136000,100
136001,44
136002,110
136003,151
136004,86
136005,54
136006,19
136007,0
136008,92
136009,200
136014,32
136015,93
136016,58
136017,65
136018,72
136019,200
136020,163
136021,14
136022,50
136024,120
136025,200
136030,2
136031,163
136032,200
136033,16
136034,83
136035,148
136036,92
136037,3
136038,40
136039,2
136040,130
136041,200
136046,86
136047,103
136048,200
136049,62
136050,97
136051,200
136052,200
136053,195
136054,36
136055,103
136056,126
136057,200
136062,11
136063,53
136064,24
136065,34
136066,79
136067,58
136068,19
136069,126
136070,34
136072,89
136073,40
136078,66
136079,93
136080,189
136081,31
136082,172
136083,181
136084,101
136085,109
136086,114
136087,52
136088,81
136089,182
136094,31
136095,57
136096,32
136097,39
136098,77
136099,40
136101,24
136102,80
136103,59
136104,103
136105,90
136111,142
136112,130
136113,106
136114,97
136115,155
136116,62
136117,108
136118,61
136119,160
136120,110
136121,200
136133,8
136134,73
136142,0
136143,13
136144,4
136145,22
136146,38
136147,14
136149,0
136150,13
136151,0
136152,46
136153,5
136158,33
136159,58
136160,57
136161,36
136162,104
136163,40
136164,81
136165,104
136166,52
136167,50
136168,82
136169,158
136174,116
136175,54
136176,190
136177,129
136178,34
136179,86
136180,165
136181,60
136182,17
136183,79
136184,167
136185,144
136190,191
136191,103
136192,200
136193,139
136194,200
136195,200
136196,200
136197,146
136198,200
136199,139
136200,200
136201,146
136202,107
136203,87
136204,150
136205,145
136206,200
136207,115
136208,123
136209,99
136210,159
136211,81
136212,116
136213,108
136214,196
136215,171
136216,109
136217,126
136218,144
136219,155
136220,55
136221,92
136222,68
136223,82
136224,155
136225,70
136226,132
136227,93
136228,83
136229,42
136230,193
136231,131
136232,124
136233,61
136234,200
136235,136
136236,200
136237,74
136238,126
136239,61
136240,121
136241,81
136242,116
136243,93
136244,152
136245,135
136246,200
136247,105
136248,92
136249,60
136250,101
136251,85
136252,57
136253,79
136254,154
136255,102
136256,102
136257,75
136258,88
136259,63
136269,4
136270,2
136272,12
136273,23
136274,0
136279,7
136280,5
136281,1
136285,32
136286,41
136287,2
136288,9
136289,24
136290,2
136291,52
136292,37
136293,8
136294,28
136295,8
136296,1
136297,0
136298,10
136300,1
136301,5
136302,24
136303,14
136304,9
136305,0
136306,20
136307,2
136308,11
136309,1
136310,19
136312,12
136314,5
136315,5
136375,0
136388,200
136389,200
136390,200
136391,200
136392,36
136393,195
136394,200
136395,200
136396,200
136397,200
136398,64
136399,113
136402,37
136403,49
136404,72
136405,19
136406,69
136407,185
136408,59
136409,44
136410,48
136411,60
136412,79
136413,56
136414,54
136416,56
136418,89
136419,63
