Variant SKU,Variant Inventory Qty,Variant Command
319712,85,UPDATE
810812,111,UPDATE
330043,110,UPDATE
804544,154,UPDATE
808237,78,UPDATE
324976,2,UPDATE
240135,188,UPDATE
318922,45,UPDATE
808927,97,UPDATE
240589,123,UPDATE
153575,194,UPDATE
42964,104,UPDATE
3115934,19,UPDATE
3116355,98,UPDATE
3117282,38,UPDATE
3117448,32,UPDATE
3118236,32,UPDATE
3122704,32,UPDATE
3125867,32,UPDATE
3126797,15,UPDATE
3126847,58,UPDATE
3127990,65,UPDATE
3127927,57,UPDATE
3128327,57,UPDATE
3129515,59,UPDATE
3130315,58,UPDATE
288211,55,UPDATE
3130638,49,UPDATE
3131235,16,UPDATE
3136479,49,UPDATE
3136879,49,UPDATE
3140137,38,UPDATE
3140659,58,UPDATE
3140625,85,UPDATE
3141739,57,UPDATE
3142139,57,UPDATE
3142539,53,UPDATE
3116612,32,UPDATE
3103377,57,UPDATE
310609,26,UPDATE
359096,39,UPDATE
289911,83,UPDATE
240604,81,UPDATE
808931,120,UPDATE
285234,80,UPDATE
321156,19,UPDATE
44889,66,UPDATE
809026,139,UPDATE
132214,12,UPDATE
244191,130,UPDATE
317606,8,UPDATE
288226,112,UPDATE
339799,103,UPDATE
823858,28,UPDATE
312490,125,UPDATE
134436,74,UPDATE
44524,30,UPDATE
808753,47,UPDATE
816581,14,UPDATE
814808,20,UPDATE
311058,17,UPDATE
337898,59,UPDATE
44987,16,UPDATE
340385,1,UPDATE
281596,52,UPDATE
815684,5,UPDATE
50968,144,UPDATE
51173,49,UPDATE
281853,19,UPDATE
284452,39,UPDATE
348588,73,UPDATE
815921,102,UPDATE
352321,37,UPDATE
151951,192,UPDATE
355889,27,UPDATE
829935,76,UPDATE
825902,48,UPDATE
829937,85,UPDATE
821551,169,UPDATE
153839,109,UPDATE
319863,139,UPDATE
3197671,61,UPDATE
3196938,12,UPDATE
824510,74,UPDATE
3196609,37,UPDATE
48648,130,UPDATE
286973,70,UPDATE
44551,34,UPDATE
47339,33,UPDATE
135219,131,UPDATE
135290,22,UPDATE
143760,20,UPDATE
311225,6,UPDATE
319229,185,UPDATE
319346,171,UPDATE
322266,23,UPDATE
349338,37,UPDATE
247599,97,UPDATE
340578,102,UPDATE
342534,71,UPDATE
816012,54,UPDATE
816825,85,UPDATE
821725,25,UPDATE
248126,148,UPDATE
318941,65,UPDATE
3071271,90,UPDATE
3188245,120,UPDATE
818240,21,UPDATE
833273,200,UPDATE
824385,24,UPDATE
3057521,133,UPDATE
3071631,90,UPDATE
3105595,27,UPDATE
3105465,27,UPDATE
3104863,27,UPDATE
272234,4,UPDATE
3185352,93,UPDATE
3200607,57,UPDATE
810092,170,UPDATE
3104603,27,UPDATE
3188251,47,UPDATE
3192226,47,UPDATE
3144972,4,UPDATE
3152759,4,UPDATE
3196986,12,UPDATE
273685,170,UPDATE
286372,3,UPDATE
3078639,166,UPDATE
3082056,67,UPDATE
3082849,64,UPDATE
3101249,147,UPDATE
47003,5,UPDATE
824069,1,UPDATE
325456,130,UPDATE
282702,98,UPDATE
286978,64,UPDATE
352484,46,UPDATE
316565,47,UPDATE
152192,172,UPDATE
3095716,1,UPDATE
3188247,77,UPDATE
3155394,105,UPDATE
3194052,42,UPDATE
825066,29,UPDATE
133485,74,UPDATE
3204565,127,UPDATE
3206974,58,UPDATE
3207042,62,UPDATE
3207096,62,UPDATE
359399,63,UPDATE
835921,171,UPDATE
312450,180,UPDATE
836651,71,UPDATE
836679,38,UPDATE
3249502,152,UPDATE
3249542,152,UPDATE
3206517,12,UPDATE
3249832,152,UPDATE
3250412,152,UPDATE
3249322,152,UPDATE
3249362,152,UPDATE
366216,152,UPDATE
3249432,152,UPDATE
3212592,80,UPDATE
3249902,152,UPDATE
3250012,152,UPDATE
3221767,177,UPDATE
3258184,144,UPDATE
3258506,144,UPDATE
3221147,95,UPDATE
3272178,192,UPDATE
3249692,152,UPDATE
3258240,70,UPDATE
3275851,177,UPDATE
839851,120,UPDATE
3249582,152,UPDATE
3222305,101,UPDATE
3224910,89,UPDATE
3152727,5,UPDATE
4004549,32,UPDATE
3222345,101,UPDATE
3249982,152,UPDATE
343617,42,UPDATE
3213847,12,UPDATE
3207752,11,UPDATE
3208104,13,UPDATE
3213684,11,UPDATE
143355,84,UPDATE
3213942,20,UPDATE
3222815,101,UPDATE
3280384,190,UPDATE
3283815,20,UPDATE
804289,72,UPDATE
3120606,34,UPDATE
3120633,31,UPDATE
361762,1,UPDATE
47372,52,UPDATE
3082021,200,UPDATE
3114105,125,UPDATE
3277877,72,UPDATE
3277889,59,UPDATE
3277913,121,UPDATE
3208590,12,UPDATE
3208732,20,UPDATE
3208345,11,UPDATE
3208434,16,UPDATE
3277786,60,UPDATE
3105536,42,UPDATE
374557,37,UPDATE
3131635,16,UPDATE
3140982,80,UPDATE
3139859,59,UPDATE
3130265,15,UPDATE
3128727,53,UPDATE
3129995,59,UPDATE
3123033,7,UPDATE
3117167,157,UPDATE
3119239,15,UPDATE
3104733,27,UPDATE
3051424,124,UPDATE
3117640,59,UPDATE
804758,164,UPDATE
3134854,156,UPDATE
3126717,15,UPDATE
3122896,106,UPDATE
3126047,59,UPDATE
3121635,199,UPDATE
3105245,27,UPDATE
347502,81,UPDATE
3105155,27,UPDATE
3261953,97,UPDATE
3295857,25,UPDATE
4005910,80,UPDATE
368183,94,UPDATE
3281955,54,UPDATE
3281920,74,UPDATE
4002005,65,UPDATE
364377,30,UPDATE
3284163,171,UPDATE
3268668,95,UPDATE
3285860,8,UPDATE
3285874,8,UPDATE
370855,5,UPDATE
3307687,20,UPDATE
3286551,10,UPDATE
135204,118,UPDATE
3286530,4,UPDATE
852590,147,UPDATE
852739,115,UPDATE
3308250,83,UPDATE
3291920,51,UPDATE
3292760,8,UPDATE
3200605,43,UPDATE
3306539,27,UPDATE
137461,19,UPDATE
360623,68,UPDATE
3315793,161,UPDATE
852938,200,UPDATE
847518,41,UPDATE
3284070,26,UPDATE
3286918,36,UPDATE
3286939,36,UPDATE
3286863,4,UPDATE
3287639,15,UPDATE
853259,157,UPDATE
853301,49,UPDATE
852146,8,UPDATE
3321806,53,UPDATE
814694,157,UPDATE
3309202,42,UPDATE
3134082,80,UPDATE
3292774,8,UPDATE
858159,106,UPDATE
858150,106,UPDATE
3272332,177,UPDATE
3294528,62,UPDATE
856188,145,UPDATE
3221107,95,UPDATE
856576,149,UPDATE
856698,24,UPDATE
311135,68,UPDATE
3325289,152,UPDATE
48507,195,UPDATE
3327499,144,UPDATE
3136233,32,UPDATE
3133709,15,UPDATE
3120189,125,UPDATE
856006,125,UPDATE
328067,56,UPDATE
849292,74,UPDATE
4019881,135,UPDATE
136886,4,UPDATE
855781,133,UPDATE
3311073,8,UPDATE
3311340,8,UPDATE
3314549,32,UPDATE
3325339,152,UPDATE
313636,109,UPDATE
3324914,90,UPDATE
3324961,90,UPDATE
4015062,11,UPDATE
3221617,95,UPDATE
4016842,41,UPDATE
3310603,14,UPDATE
859135,88,UPDATE
861868,90,UPDATE
3328447,4,UPDATE
862074,77,UPDATE
377308,55,UPDATE
367625,7,UPDATE
3095019,124,UPDATE
