Variant SKU,Variant Inventory Qty,Variant Command
3258800,144,UPDATE
3258191,144,UPDATE
3224987,192,UPDATE
3225092,95,UPDATE
3225099,95,UPDATE
3225141,177,UPDATE
3222835,101,UPDATE
3224889,95,UPDATE
839850,24,UPDATE
3277364,80,UPDATE
3222295,101,UPDATE
3221127,89,UPDATE
377375,19,UPDATE
3250032,152,UPDATE
3051626,82,UPDATE
3224896,95,UPDATE
3222325,101,UPDATE
3278765,90,UPDATE
377693,5,UPDATE
4004763,83,UPDATE
3207841,12,UPDATE
3280848,113,UPDATE
358717,18,UPDATE
358743,2,UPDATE
3221637,95,UPDATE
379043,49,UPDATE
361647,126,UPDATE
3283821,44,UPDATE
842463,46,UPDATE
365586,100,UPDATE
3120850,48,UPDATE
3281568,80,UPDATE
367716,127,UPDATE
3283905,181,UPDATE
3283926,165,UPDATE
841986,127,UPDATE
367624,40,UPDATE
369041,51,UPDATE
366603,150,UPDATE
3277841,182,UPDATE
3277925,90,UPDATE
841798,39,UPDATE
839245,63,UPDATE
3197038,15,UPDATE
3207017,62,UPDATE
3128167,54,UPDATE
3140019,59,UPDATE
3126287,59,UPDATE
3134074,7,UPDATE
3117615,15,UPDATE
3104668,27,UPDATE
3104538,27,UPDATE
3280422,29,UPDATE
3210064,31,UPDATE
3207034,43,UPDATE
3105066,27,UPDATE
820671,34,UPDATE
3144167,15,UPDATE
3141802,65,UPDATE
3124022,150,UPDATE
3117947,199,UPDATE
3118565,7,UPDATE
3133549,15,UPDATE
3118567,49,UPDATE
51054,59,UPDATE
358320,3,UPDATE
358336,17,UPDATE
3261785,97,UPDATE
3261791,97,UPDATE
3261959,97,UPDATE
4000927,52,UPDATE
3281956,54,UPDATE
3081918,51,UPDATE
3282052,97,UPDATE
3281982,27,UPDATE
3215780,172,UPDATE
3214970,172,UPDATE
3215375,173,UPDATE
3291137,10,UPDATE
3068866,172,UPDATE
3069808,61,UPDATE
326882,56,UPDATE
852738,116,UPDATE
3308050,168,UPDATE
3290460,8,UPDATE
3290474,8,UPDATE
3301631,18,UPDATE
3302148,157,UPDATE
3285437,36,UPDATE
3286925,36,UPDATE
3286857,10,UPDATE
853253,128,UPDATE
853247,131,UPDATE
3322664,53,UPDATE
852409,87,UPDATE
3322777,10,UPDATE
815239,39,UPDATE
3323809,53,UPDATE
240309,92,UPDATE
283256,37,UPDATE
3288160,8,UPDATE
3288174,8,UPDATE
3322560,53,UPDATE
3302038,39,UPDATE
153595,197,UPDATE
858158,80,UPDATE
858147,174,UPDATE
3221057,192,UPDATE
3224924,95,UPDATE
358650,57,UPDATE
3275188,177,UPDATE
288343,10,UPDATE
3221307,192,UPDATE
3324873,60,UPDATE
311078,44,UPDATE
856699,17,UPDATE
844882,3,UPDATE
844276,14,UPDATE
346837,31,UPDATE
3318624,54,UPDATE
3311470,59,UPDATE
3311589,8,UPDATE
853459,103,UPDATE
860686,11,UPDATE
3302143,77,UPDATE
854281,45,UPDATE
3314763,58,UPDATE
4016843,66,UPDATE
4103941,21,UPDATE
3207022,9,UPDATE
318596,12,UPDATE
4105103,9,UPDATE
3120794,42,UPDATE
833664,73,UPDATE
3155397,86,UPDATE
4016848,44,UPDATE
3311935,37,UPDATE
3258513,144,UPDATE
133522,113,UPDATE
853917,146,UPDATE
46624,65,UPDATE
3095020,155,UPDATE
3195594,86,UPDATE
281784,1,UPDATE
359114,103,UPDATE
359102,22,UPDATE
44182,165,UPDATE
242210,16,UPDATE
242405,14,UPDATE
244070,22,UPDATE
244072,7,UPDATE
244703,45,UPDATE
833096,157,UPDATE
47541,74,UPDATE
318112,17,UPDATE
244701,26,UPDATE
274885,21,UPDATE
314106,151,UPDATE
314199,36,UPDATE
3203719,61,UPDATE
328167,153,UPDATE
346827,178,UPDATE
3055189,16,UPDATE
3057778,77,UPDATE
3063032,36,UPDATE
3064097,74,UPDATE
3065355,74,UPDATE
3068869,172,UPDATE
3069509,172,UPDATE
3069606,45,UPDATE
3069909,172,UPDATE
3069813,61,UPDATE
3070006,45,UPDATE
3070120,16,UPDATE
3070630,121,UPDATE
3073182,18,UPDATE
3076361,3,UPDATE
3077384,15,UPDATE
44238,161,UPDATE
311835,77,UPDATE
48498,49,UPDATE
92112,6,UPDATE
92391,80,UPDATE
318766,172,UPDATE
317603,198,UPDATE
815489,80,UPDATE
332946,129,UPDATE
134425,144,UPDATE
141018,61,UPDATE
247197,192,UPDATE
40545,148,UPDATE
810876,156,UPDATE
810881,170,UPDATE
92801,127,UPDATE
810841,115,UPDATE
313343,91,UPDATE
282661,61,UPDATE
50539,19,UPDATE
324753,27,UPDATE
143706,86,UPDATE
241670,93,UPDATE
823558,4,UPDATE
318860,50,UPDATE
51086,107,UPDATE
812316,198,UPDATE
316844,175,UPDATE
143704,118,UPDATE
3088066,4,UPDATE
3094879,119,UPDATE
3099254,98,UPDATE
3099237,98,UPDATE
3116306,150,UPDATE
3118774,144,UPDATE
3119860,32,UPDATE
3120532,164,UPDATE
3122447,98,UPDATE
3125973,87,UPDATE
3126325,38,UPDATE
3126767,58,UPDATE
3128487,57,UPDATE
3128807,58,UPDATE
3129675,59,UPDATE
3130075,58,UPDATE
3130185,15,UPDATE
3130505,15,UPDATE
3131410,156,UPDATE
3131555,16,UPDATE
3134902,65,UPDATE
3136399,49,UPDATE
3136799,49,UPDATE
3140449,15,UPDATE
3141754,156,UPDATE
3142619,58,UPDATE
3143133,32,UPDATE
3144039,59,UPDATE
3144137,58,UPDATE
90342,99,UPDATE
90679,39,UPDATE
310467,92,UPDATE
47213,123,UPDATE
135786,23,UPDATE
